Time,Reporter,Type,Content,Screenshot,RTF Note
14.08.2017 21:03:08,Arkivar Team,(Rapid Reporter version),"1.16.05.20",,
14.08.2017 21:03:08,Arkivar Team,Session Reporter,"Arkivar Team",,
14.08.2017 21:03:08,Arkivar Team,Session Charter,"Explore Settings with Web Browser iPhone and Android Phone to discover persistency or concurrency errors",,
14.08.2017 21:03:36,Arkivar Team,Setup,"Download and extract https://github.com/IMSmobile/app/archive/0.12.1.zip",,
14.08.2017 21:04:51,Arkivar Team,Setup,"Change into directory and run ''npm install''",,
14.08.2017 21:07:59,Arkivar Team,Setup,"Run command ''ionic cordova run browser'' / start app",,
14.08.2017 21:18:17,Arkivar Team,Setup,"Open browser to http://localhost:8000/",,
14.08.2017 21:19:19,Arkivar Team,Bug,"Browser: Splash screen is missing logo",1_20170814_211859.jpg,
14.08.2017 21:19:42,Arkivar Team,Setup,"Login with account ''mia''",2_20170814_212029.jpg,
14.08.2017 21:20:27,Arkivar Team,Setup,"Select archive",3_20170814_212035.jpg,
14.08.2017 21:20:35,Arkivar Team,Setup,"Navigate to settings page",4_20170814_212040.jpg,
14.08.2017 21:21:23,Arkivar Team,Test,"Check search in ''Bildupload Felder''",4_20170814_212040.jpg,
14.08.2017 21:22:14,Arkivar Team,Note,"Enter ''k''",5_20170814_212220.jpg,
14.08.2017 21:22:47,Arkivar Team,Check,"Three fields displayed on all devices",5_20170814_212220.jpg,
14.08.2017 21:23:41,Arkivar Team,Test,"Enter ''*'' as search text as wildcard",6_20170814_212354.jpg,
14.08.2017 21:23:55,Arkivar Team,Check,"No results",6_20170814_212354.jpg,
14.08.2017 21:24:22,Arkivar Team,Test,"Enter ''test'' and press ''x'' (clear) button",,
14.08.2017 21:24:50,Arkivar Team,Check,"All fields reappeard",,
14.08.2017 21:26:11,Arkivar Team,Bug,"iPhone only: Keyboard dissapears and reappears when clicking ''x''",,
14.08.2017 21:27:04,Arkivar Team,Test,"Quickly click toggle button multiple times",7_20170814_212803.jpg,
14.08.2017 21:28:04,Arkivar Team,Check,"Verify correct fields are active on upload page",7_20170814_212803.jpg,
14.08.2017 21:29:15,Arkivar Team,Note,"Fields successfully shown on all devices",8_20170814_212913.jpg,
14.08.2017 21:30:02,Arkivar Team,Test,"Disable URL field",9_20170814_213008.jpg,
14.08.2017 21:30:43,Arkivar Team,Check,"Server Field is not displayed on all devices",10_20170814_213020.jpg,
